name,introduction,cause,easy_get,prevent,cure
烂边病,烂边病多在刺参耳状幼体阶段发生，发病个体长为600~800微米，在山东、辽宁、河北等地的刺参苗种场均有发生，发病率高、致病性强、死亡率可达90%以上，往往对苗种场早期幼体的培育造成重大损失。,调查结果显示:亲参暂养时间过长、密度过高、营养不足，亲参所繁育的幼体发生烂边病的概率就越高。另外，繁育过程中采卵工艺粗糙、幼体培育密度过高等也会增加该病发生的概率。,幼体阶段,"药敏实验结果显示沙星类药物对该菌有明显的抑制作用。预防时可采取“3+3”的方式，即用药3天停药3天进行药物全池泼洒，用药剂量为每立方米水体2~3克;而治疗时，剂量升高到每立方米水体5~6克,每日用药1次，直至痊愈。另外，需适当缩短亲参暂养时间，控制幼体培育密度，加强培育期水质和饵料管理。",对于严重感染的刺参幼体，需采用“药浴+口服”的方式进行治疗，其中药浴使用聚维酮碘，按照说明书的浓度使用后浸浴4~5小时，隔1天用1次，连续使用2~3次;口服使用诺氟沙星拌饲投喂，每千克饲料使用2~3克，每天1次，连用5~7天。
烂胃病,此病多发于大耳幼体后期，高温期和幼体培育密度高时更容易发病。该病在山东、辽宁、河北等省都有发现，发病率有逐年升高之势，其死亡率可高达90%以上。,"发病原因主要有4个方面:①由于饵料品质不佳，如变质的藻液里有大量有毒物质等，投喂刺参幼体后，容易造成幼体胃部组织病变;②投喂不易消化的单一藻种，如扁藻或小球藻,饵料营养单一也可引起幼体胃部出现溃疡;③一些细菌病原感染幼体也可以导致此病发生;④环境恶化原因。",幼体后期,一是投喂新鲜适的单胞藻，如角毛藻、盐藻、金藻，配合海洋酵母、光合细菌等，满足幼体发育和生长的需要;二是适当加大换水量，减少水体中细菌数量和有害物质;将幼体培育密度控制在0.2~0.3个/毫升。,每立方米水体使用刺参专用药物“参安二号”2~3克，浸浴6小时以上，连用3~5天，配合口服使用盐酸土霉素，每千克饲料使用4~6克有良好疗效。
化板病,此病多在樽形幼体向五触手幼体变态时期和幼体附板后的稚参阶段发生，是刺参育苗后期危害最为严重和普遍发生的一种流行性疾病。.该病在我国刺参主产区都有发现，且发病快，传染性很强，若控制不当，数天内死亡率可高达90%以上。,饲料质量低、养殖用水处理和附着基的卫生管理不当,樽形幼体向五触手幼体变态时期和幼体附板后的稚参阶段,一方面，采用二次砂滤或紫外线消毒的方法，保证水质清新，尽量减少养殖用水中病菌数量;并适时更换附着基和换池，勤换水，及时清除残饵、粪便、有机物、微生物等;另一方面，重视饵料的质量，控制投饵量，饵料使用前应经过严格的病原检测，确保饵料不携带重要致病原。,发现病情，应及时在池中泼洒喹诺酮类抗生素，每立方米水体加2~3克，浸浴6小时以上，隔1天用1次，连续使用3次;以药浴和口服同时处理进行治疗，口服时喹诺酮类抗生素每干克饲料用量为3~4克。
化皮病,此病是当前养殖刺参最常见的疾病之一，危害最为严重。稚参培育、越冬保苗期幼参和养成期刺参均可被感染发病。一般幼参的感染率、发病率和死亡率都高于成参，一旦发病就会很快蔓延至全池和整个养殖区域，若未能及时采取有效的控制措施，死亡率可达80%以上，属急性死亡。发病时间从初冬11月份可延续至翌年的4月初，养殖水体温度较低时期是发病高峰。,细菌感染,稚参培育、越冬保苗期幼参和养成期刺参,"①购买参苗时应实施种苗健康检查措施，肉眼检查应选择体表无损伤、肉刺完整、身体自然伸展、活力好、摄食能力强、粪便条状的参苗为佳。有条件者可采用显微观察和微生物分离等手段确认其健康程度。
②投放苗种的密度适宜，保持良好的水质和底质环境。
③采取‘冬病秋治’策略，入冬前后定期使用底质改良剂以氧化池底有机物，杀灭病原微生物，改善刺参栖息环境;同时趁刺参能够摄食时投喂专用抗菌药物，使刺参在冬季时体内积累一定药物浓度以达到抗病效果，使刺参安全越冬。
④巡池观察刺参活动状态，体表变化，摄食与粪便情况，池底清洁状况;定时测量水质指标和生长速度。发现刺参患病后，应遵循“早发现，早隔离，早治疗”的原则，及时将身体已经严重腐烂的个体拣出后进行掩埋处理。未发病和病轻的个体可用氨基糖苷类抗生素，以药浴和口服同时进行治疗。
有锅炉或地热条件时，可提温保苗,保持较高的温度（ 14℃以上)，提高刺参摄食与抗病能力。","①购买参苗时应实施种苗健康检查措施，肉眼检查应选择体表无损伤、肉刺完整、身体自然伸展、活力好、摄食能力强、粪便条状的参苗为佳。有条件者可采用显微观察和微生物分离等手段确认其健康程度。
②投放苗种的密度适宜，保持良好的水质和底质环境。
③采取‘冬病秋治’策略，入冬前后定期使用底质改良剂以氧化池底有机物，杀灭病原微生物，改善刺参栖息环境;同时趁刺参能够摄食时投喂专用抗菌药物，使刺参在冬季时体内积累一定药物浓度以达到抗病效果，使刺参安全越冬。
④巡池观察刺参活动状态，体表变化，摄食与粪便情况，池底清洁状况;定时测量水质指标和生长速度。发现刺参患病后，应遵循“早发现，早隔离，早治疗”的原则，及时将身体已经严重腐烂的个体拣出后进行掩埋处理。未发病和病轻的个体可用氨基糖苷类抗生素，以药浴和口服同时进行治疗。
有锅炉或地热条件时，可提温保苗,保持较高的温度（ 14℃以上)，提高刺参摄食与抗病能力。
"
扁形动物病,此病在每年的1一3月份养殖水体温度较低时(8℃以下)为发病高峰，越冬幼参培育期和成参养殖期均有发现，可导致较高的死亡率。当水温上升到14℃以上时，病情减轻或消失。,扁形动物寄生,越冬幼参培育期和成参养殖期,,
后口虫病,该病在每年的秋冬季节发生率较高，但患病刺参的死亡率通常较低。目前仅在幼参期和成参期发现此病。此病的病原为拟唇后口虫（Boveria labialis )，是纤毛虫的一种。,拟唇后口虫寄生,幼参期和成参期,,
盾纤毛虫病,"盾纤毛虫能感染苗期稚参和保苗期的幼参，全年均可发生，以水温在10~20℃时发生频率较高，未见在刺参浮游幼体时期发生。该病感染率高，传播快，治疗难度较大，往往伴随细菌的交叉感染，可造成稚参、幼参的大批死亡。经鉴定该纤毛虫为盾纤毛虫类，嗜污科。纤毛虫活体外观呈瓜子形，皮膜薄，无缺刻，新鲜分离得到的虫体平均大小为38.4微米×21.7微米。纤毛虫最初在体表伤口处集聚，继而侵入组织内部，在刺参体内大量繁殖;后期深层组织都能发现虫体，导致刺参组织坏死和解体死亡
。",盾纤毛虫寄生,苗期稚参和保苗期的幼参,"①养殖用水应经过严格砂滤，出水口用300目筛绢网袋过滤处理后再使用。
②及时清除池底和排水沟中的污物，确保排水沟清洁，定期用生石灰消毒。
③分池倒苗或者更换附着基时,要避免将收集参苗的网袋直接接触排水沟底部，应使用专用的集苗器，防止排水沟中有害微生物的交叉污染。
④缩短换板时间间隔，保持附着基表面的清洁;适时换池，创造良好的水质环境。
⑤饵料应经过药物或者消毒处理后再投喂，杀灭饵料中的致病菌和纤毛虫等寄生虫。
⑥在疾病高发时期或者感染初期，配合使用合适的抗生素，以保障刺参幼体强健不受细菌的感染，从而抵御纤毛虫的攻击;另外，还可以使用具有驱虫和杀虫作用的专用中草药来控制病情。
","①养殖用水应经过严格砂滤，出水口用300目筛绢网袋过滤处理后再使用。
②及时清除池底和排水沟中的污物，确保排水沟清洁，定期用生石灰消毒。
③分池倒苗或者更换附着基时,要避免将收集参苗的网袋直接接触排水沟底部，应使用专用的集苗器，防止排水沟中有害微生物的交叉污染。
④缩短换板时间间隔，保持附着基表面的清洁;适时换池，创造良好的水质环境。
⑤饵料应经过药物或者消毒处理后再投喂，杀灭饵料中的致病菌和纤毛虫等寄生虫。
⑥在疾病高发时期或者感染初期，配合使用合适的抗生素，以保障刺参幼体强健不受细菌的感染，从而抵御纤毛虫的攻击;另外，还可以使用具有驱虫和杀虫作用的专用中草药来控制病情。
"
桡足类引起的疾病,"桡足类中的一种猛水蚤（ Microsetella sp.）是刺参育苗期间的主要敌害，由于其生长繁殖的适宜温度和稚参培育水温一致，在短时间内可大量繁殖,使养殖水体呈白浊色。大量的猛水蚤不仅与刺参幼体争夺饵料和生存空间，造成水体缺氧，还能直接刺伤稚参的体表，破碎后食其组织碎屑。稚参受伤后易造成继发性感染和溃疡，最终导致幼体破碎、骨片脱落而解体死亡。猛水蚤大量繁殖时，稚参在短时间内数量会剧减，尤其是0.2~0.5毫米以内的稚参，死亡率较高。目前也发现若猛水蚤密度很高,水质恶化时，2厘米的幼参也会因猛水蚤刺伤体表而发生大量的死亡。",敌害动物桡足类,稚参和幼参,防治措施包括:①采用二级砂滤的方法严格过滤养殖用水;②用敌百虫消毒饵料后再投喂，可重点杀除海泥等饵料组分中携带的桡足类及其虫卵;③如果发现池水中有较多桡足类，可用浓度为2~3克/米°的敌百虫进行泼洒，一般在药浴3小时后进行换水，具体操作时应根据杀虫实际效果决定药浴时间。若杀虫效果不佳，可隔2日再使用同剂量的敌百虫药浴。,防治措施包括:①采用二级砂滤的方法严格过滤养殖用水;②用敌百虫消毒饵料后再投喂，可重点杀除海泥等饵料组分中携带的桡足类及其虫卵;③如果发现池水中有较多桡足类，可用浓度为2~3克/米°的敌百虫进行泼洒，一般在药浴3小时后进行换水，具体操作时应根据杀虫实际效果决定药浴时间。若杀虫效果不佳，可隔2日再使用同剂量的敌百虫药浴。
海鞘引起的疾病,海鞘的大量繁殖，不仅会与刺参争夺生活空间和饵料，而且会大量消耗溶解氧，同时向水中排泄代谢物，从而影响刺参的生长和养殖效益。在养殖网箱和吊笼上大量附着海鞘能直接影响水流交换，进而影响网箱和吊笼内的水质，导致刺参发生疾病，成活率降低。,敌害动物海鞘,稚参和幼参,在玻璃海鞘繁殖季节，养殖用水要经过2次砂滤，出水口用300目筛绢网袋过滤等措施处理后再使用;人工定期清除蓄水池、砂滤池和输水管道中的玻璃海鞘;玻璃海鞘数量较大时，应使用1~2次“灭鞘灵”[10~15克/(米3·次)]，可以有效杀除海鞘;此外，勤换池也能避免海鞘大量繁殖。,在玻璃海鞘繁殖季节，养殖用水要经过2次砂滤，出水口用300目筛绢网袋过滤等措施处理后再使用;人工定期清除蓄水池、砂滤池和输水管道中的玻璃海鞘;玻璃海鞘数量较大时，应使用1~2次“灭鞘灵”[10~15克/(米3·次)]，可以有效杀除海鞘;此外，勤换池也能避免海鞘大量繁殖。
麦秆虫引起的疾病,麦秤虫在春季、夏季和秋季出现较多。麦秤虫有尖锐的附肢，能钩附在刺参体表，形成伤口，引起继发性感染和溃疡，造成刺参死亡。,敌害动物麦秆虫,稚参和幼参,养殖用水应经过砂滤或网滤，防止麦秤虫及其虫卵进入养殖系统。一旦发现病情，使用敌百虫（3克/米3）药浴处理1~2次，使用3小时后要及时换水，可有效驱除和杀死麦杆虫。,养殖用水应经过砂滤或网滤，防止麦秤虫及其虫卵进入养殖系统。一旦发现病情，使用敌百虫（3克/米3）药浴处理1~2次，使用3小时后要及时换水，可有效驱除和杀死麦杆虫。
