name,detail
幼体组织增生,发病症状主要表现为:在显微镜下可以清晰观察到刺参耳状幼体的幼体臂组织增生，颜色加深变黑，随着感染的加重，幼体臂变得模糊不清，逐步溃烂，最后整个幼体解体消失。因为在刺参幼体边缘（幼体臂）先出现症状，因此称为烂边病。患烂边病后存活个体的发育迟缓、变态率低，即使耳状幼体能变态为稚参，附板一周左右也大多“化板”消失，死亡率极高。
幼体胃壁增厚,发病症状为:幼体胃壁增厚、粗糙，胃组织的周边界限变得模糊不清，继而萎缩变小、变形，严重时整个胃壁发生糜烂，最终导致幼体死亡。由于胃部组织出现溃烂病变是最典型的症状，故称之为烂胃病。此外，患病幼体还会出现摄食能力下降或不摄食，发育迟缓，从耳状幼体到樽形幼体变态率和成活率低等现象。
幼体收缩不伸展,"发病症状主要表现为:附着的幼体收缩不伸展，触手收缩，活力下降,附着力差，并逐渐失去附着力，从附着基上脱落于池底。在显微镜下可观察到患病幼体表皮出现褐色‘锈’斑和污物，有的患病稚参体外包被一层透明的薄膜,形似脱皮;严重感染的刺参幼体表皮溃烂直至解体。镜检池底沉积物中可见溃烂解体刺参散落的大量骨片。"
体表溃烂,"初期感染的病参多有摇头现象，口部出现局部性感染，表现为触手黑浊，对外界刺激反应迟钝，口部肿胀、不能收缩与闭合，继而大部分刺参会出现排脏现象;中期感染的刺参身体收缩、僵直，体色变暗浊，肉刺变白、秃钝，一般体表或者口腹部先出现小面积溃疡,形成小的蓝白色斑点;感染末期病参的病灶扩大、溃疡处增多，表皮大面积腐烂，可见内脏从溃烂处裸露，最后刺参死亡溶化为鼻涕状的胶体。由于该病的症状表型复杂，但体表溃烂为该病的最典型特征，所以将此病称之为腐皮综合征。"
拖便症,在稚幼参培育阶段，正常刺参的粪便极易从肛门处脱落，粪便粗大、圆条状、呈灰褐色。若刺参排出的粪便不易脱落，黏附在肛门处，这种现象被称之为拖便症。患有拖便症的刺参产生的粪便多呈细条状，外表黏膜状物质明显，黏性大，内含物稀薄，颜色浅。生产中常出现拖便现象的苗种多数表现为摄食差、生长慢、体色暗浊，与“老头苗”的表现有相似性。究其本质，拖便症其实是刺参患肠炎的一种表现，是由细菌感染肠道造成肠道黏膜受损、脱落而造成的，其粪便黏性大，容易黏附在刺参肛门处不易脱落。
“滞长”现象,"在稚幼参培育阶段,部分刺参苗种出现摄食量少，体色暗浊，参体不伸展，活动力差，生长缓慢的现象，被称为“滞长”。“滞长”时间长的刺参最终会成为“老头苗”。
造成“滞长”的原因有以下几个方面:①受亲本遗传因素的影响;②受环境或者病原感染的影响，早期苗种排脏后，在养殖环境下其肠道再生过程缓慢，严重影响摄食和生长;③养殖密度过大;④受病原感染的刺参虽未排脏，但是肠道出现病变，影响其摄食和吸收能力。"
排脏反应,排脏后丧失摄食能力，参体消瘦，活力减弱，容易由其他病原引起继发性感染。
桡足类竞争,大量的猛水蚤不仅与刺参幼体争夺饵料和生存空间，造成水体缺氧，还能直接刺伤稚参的体表，破碎后食其组织碎屑。稚参受伤后易造成继发性感染和溃疡，最终导致幼体破碎、骨片脱落而解体死亡。
麦杆虫钩附,麦秤虫有尖锐的附肢，能钩附在刺参体表，形成伤口，引起继发性感染和溃疡，造成刺参死亡。
体色下降、肉刺变白，活力下降,体色下降、肉刺变白，活力下降
身体肿胀,身体肿胀
身体僵硬，收缩力弱，生长缓慢,身体僵硬，收缩力弱，生长缓慢
